top_level,file_type,suffix,count
12_Months,video,.mov,1437
12_Months,doc,.pdf,136
12_Months,video,.mp4,81
12_Months,doc,.docx,28
12_Months,video,.avi,5
12_Months,doc,.pages,3
12_Months,video,.3gp,1
42_Months,other,.json,2341
42_Months,other,.csv,1495
42_Months,other,.mat,1081
42_Months,other,.hdr,1075
42_Months,video,.mp4,1074
42_Months,other,.zip,1072
42_Months,other,.snirf,924
42_Months,other,.txt,907
42_Months,other,.wl1,866
42_Months,other,.wl2,866
42_Months,other,.nirs,849
42_Months,other,.tri,748
42_Months,other,.id,429
42_Months,other,.edf,252
42_Months,other,.jpg,193
42_Months,other,.py,163
42_Months,other,.log,161
42_Months,other,.psydat,146
42_Months,other,.heic,110
42_Months,other,.sh,110
42_Months,other,.ipynb,95
42_Months,other,.m,93
42_Months,doc,.pdf,91
42_Months,other,.pyc,75
42_Months,other,.c,69
42_Months,other,.fif,69
42_Months,other,.mexw64,69
42_Months,other,.dll,54
42_Months,other,,39
42_Months,other,.jpeg,37
42_Months,other,.js,32
42_Months,other,.png,28
42_Months,other,.html,25
42_Months,other,.r,19
42_Months,other,.csh,18
42_Months,other,.doctree,18
42_Months,other,.rst,18
42_Months,other,.xlsx,16
42_Months,other,.ncfg,15
42_Months,other,.h,14
42_Months,other,.woff,14
42_Months,other,.woff2,14
42_Months,other,.sample,13
42_Months,other,.cmp,10
42_Months,other,.fsf,10
42_Months,other,.css,9
42_Months,other,.evt,8
42_Months,other,.md,8
42_Months,other,.cpp,7
42_Months,other,.psyexp,7
42_Months,other,.db,6
42_Months,other,.exe,6
42_Months,video,.mov,6
42_Months,other,.tpl,5
42_Months,video,.avi,5
42_Months,other,.avg,4
42_Months,other,.dat,4
42_Months,other,.inf,4
42_Months,other,.params,4
42_Months,other,.set,4
42_Months,other,.thm,4
42_Months,doc,.docx,3
42_Months,other,.aux,2
42_Months,other,.bat,2
42_Months,other,.cfg,2
42_Months,other,.dmp,2
42_Months,other,.eot,2
42_Months,other,.inv,2
42_Months,other,.lib,2
42_Months,other,.map,2
42_Months,other,.pickle,2
42_Months,other,.sln,2
42_Months,other,.spec,2
42_Months,other,.svg,2
42_Months,other,.tcsh,2
42_Months,other,.ttf,2
42_Months,other,.ui,2
42_Months,other,.vcproj,2
42_Months,other,.wav,2
42_Months,other,.fig,1
42_Months,other,.hst,1
42_Months,other,.idx,1
42_Months,other,.ini,1
42_Months,other,.mexa64,1
42_Months,other,.mexmaci,1
42_Months,other,.mexmaci64,1
42_Months,other,.mexw32,1
42_Months,other,.mtl,1
42_Months,other,.obj,1
42_Months,other,.pack,1
42_Months,other,.roh,1
42_Months,other,.tsv,1
42_Months,other,.xdf,1
42_Months,other,.yml,1
6_Months,video,.mov,1451
6_Months,doc,.pdf,144
6_Months,video,.mp4,113
6_Months,doc,.docx,8
Arm_Restraint_6mo,video,.mov,137
Arm_Restraint_6mo,video,.mp4,2
Freeplay_6mo,video,.mov,126
Freeplay_6mo,video,.mp4,3
Freeplay_6mo,other,.boris,1
MAAP_Cropped_Videos,video,.mp4,152
MAAP_Cropped_Videos,video,.mov,3
