top_level,subject_id,phase,tasks_present,missing_tasks,n_missing
12_Months,100,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,100,E2,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,107,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,107,E2,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,109,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,109,E2,"['arm_restraint', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,111,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,111,E2,"['arm_restraint', 'calibration', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,119,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,119,E2,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,126,E1,"['arm_restraint', 'calibration', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,126,E2,"['arm_restraint', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,127,E1,"['arm_restraint', 'freeplay', 'nail_clipping', 'still_face']",['maap'],1
12_Months,127,E2,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,142,E1,"['arm_restraint', 'calibration', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,142,E2,"['arm_restraint', 'calibration', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,144,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,144,E2,"['depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",['arm_restraint'],1
12_Months,153,E1,"['arm_restraint', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,153,E2,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,168,E1,"['arm_restraint', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,168,E2,"['arm_restraint', 'calibration', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,170,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,170,E2,"['arm_restraint', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,174,E1,"['arm_restraint', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,174,E2,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,18,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping']",['still_face'],1
12_Months,18,E2,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,19,E1,"['arm_restraint', 'freeplay', 'nail_clipping', 'still_face']",['maap'],1
12_Months,19,E2,"['arm_restraint', 'freeplay', 'still_face']","['maap', 'nail_clipping']",2
12_Months,193,E1,"['arm_restraint', 'calibration', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,193,E2,"['arm_restraint', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,20,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'still_face']",['nail_clipping'],1
12_Months,20,E2,"['arm_restraint', 'depth', 'freeplay', 'maap', 'still_face']",['nail_clipping'],1
12_Months,201,E1,"['arm_restraint', 'freeplay', 'maap', 'still_face']",['nail_clipping'],1
12_Months,201,E2,"['arm_restraint', 'freeplay', 'maap', 'still_face']",['nail_clipping'],1
12_Months,219,E1,"['arm_restraint', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,219,E2,"['arm_restraint', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,225,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,225,E2,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,226,E1,"['arm_restraint', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,226,E2,"['arm_restraint', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,237,E1,"['freeplay', 'still_face']","['arm_restraint', 'maap', 'nail_clipping']",3
12_Months,237,E2,"['freeplay', 'still_face']","['arm_restraint', 'maap', 'nail_clipping']",3
12_Months,249,E1,"['arm_restraint', 'freeplay', 'maap', 'still_face']",['nail_clipping'],1
12_Months,249,E2,"['arm_restraint', 'calibration', 'depth', 'freeplay', 'maap', 'still_face']",['nail_clipping'],1
12_Months,25,E1,"['arm_restraint', 'calibration', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,25,E2,"['arm_restraint', 'calibration', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
