top_level,task,count
12_Months,freeplay,279
12_Months,maap,264
12_Months,still_face,263
12_Months,arm_restraint,262
12_Months,nail_clipping,227
12_Months,depth,138
12_Months,full_video,48
12_Months,calibration,40
12_Months,bonus,2
12_Months,zoom,1
42_Months,active_webcam,221
42_Months,calibration,215
42_Months,passive_webcam,207
42_Months,quills,104
42_Months,picnic,103
42_Months,gift,100
42_Months,puzzles,96
42_Months,jumble,29
42_Months,cleanup,1
42_Months,epilog,1
42_Months,fnirs,1
42_Months,musicbox,1
42_Months,verbal_exercise,1
6_Months,freeplay,286
6_Months,still_face,283
6_Months,arm_restraint,277
6_Months,visual_attention,276
6_Months,nail_clipping,237
6_Months,depth,116
6_Months,full_video,82
6_Months,calibration,7
Arm_Restraint_6mo,arm_restraint,139
Freeplay_6mo,freeplay,129
MAAP_Cropped_Videos,maap,155
